Turn,TotalAgents,EmpAgents,NonEmpAgents,AvgEmpEnergy,AvgNonEmpEnergy
283,399,191,208,20.98952879581152,17.826923076923077
284,399,191,208,20.98952879581152,17.826923076923077
285,399,191,208,20.98952879581152,17.826923076923077
286,399,191,208,20.98952879581152,17.826923076923077
287,399,191,208,20.98952879581152,17.826923076923077
288,399,191,208,20.98952879581152,17.826923076923077
289,399,191,208,20.98952879581152,17.826923076923077
290,399,191,208,20.98952879581152,17.826923076923077
291,399,191,208,20.98952879581152,17.826923076923077
292,399,191,208,20.98952879581152,17.826923076923077
293,399,191,208,20.98952879581152,17.826923076923077
294,399,191,208,20.98952879581152,17.826923076923077
295,399,191,208,20.98952879581152,17.826923076923077
296,399,191,208,20.98952879581152,17.826923076923077
297,399,191,208,20.98952879581152,17.826923076923077
298,399,191,208,20.98952879581152,17.826923076923077
299,399,191,208,20.98952879581152,17.826923076923077
300,399,191,208,20.98952879581152,17.826923076923077
301,399,191,208,20.98952879581152,17.826923076923077
302,399,191,208,20.98952879581152,17.826923076923077
303,399,191,208,20.98952879581152,17.826923076923077
304,399,191,208,20.98952879581152,17.826923076923077
305,399,191,208,20.98952879581152,17.826923076923077
306,399,191,208,20.98952879581152,17.826923076923077
307,399,191,208,20.98952879581152,17.826923076923077
308,399,191,208,20.98952879581152,17.826923076923077
309,399,191,208,20.98952879581152,17.826923076923077
310,399,191,208,20.98952879581152,17.826923076923077
311,399,191,208,20.98952879581152,17.826923076923077
312,399,191,208,20.98952879581152,17.826923076923077
313,399,191,208,20.98952879581152,17.826923076923077
314,399,191,208,20.98952879581152,17.826923076923077
315,399,191,208,20.98952879581152,17.826923076923077
316,399,191,208,20.98952879581152,17.826923076923077
317,399,191,208,20.98952879581152,17.826923076923077
318,399,191,208,20.98952879581152,17.826923076923077
319,399,191,208,20.98952879581152,17.826923076923077
320,399,191,208,20.98952879581152,17.826923076923077
321,399,191,208,20.98952879581152,17.826923076923077
322,399,191,208,20.98952879581152,17.826923076923077
323,399,191,208,20.98952879581152,17.826923076923077
324,399,191,208,20.98952879581152,17.826923076923077
325,399,191,208,20.98952879581152,17.826923076923077
326,399,191,208,20.98952879581152,17.826923076923077
327,399,191,208,20.98952879581152,17.826923076923077
328,399,191,208,20.98952879581152,17.826923076923077
329,399,191,208,20.98952879581152,17.826923076923077
330,399,191,208,20.98952879581152,17.826923076923077
331,399,191,208,20.98952879581152,17.826923076923077
332,399,191,208,20.98952879581152,17.826923076923077
333,399,191,208,20.98952879581152,17.826923076923077
334,399,191,208,20.98952879581152,17.826923076923077
335,399,191,208,20.98952879581152,17.826923076923077
336,399,191,208,20.98952879581152,17.826923076923077
337,399,191,208,20.98952879581152,17.826923076923077
338,399,191,208,20.98952879581152,17.826923076923077
339,399,191,208,20.98952879581152,17.826923076923077
